first_name,last_name,full_name,phone,client_id,dob,age,inception,city,state,street,advisor,lat,lon,account_types,total_aum
Robert,Wigfield,Robert Wigfield,122-582-3321,1,1956-05-10,62,2004-01-13,Fayetteville,AR,3511 Oakland Zion Road,Robert,36.1142691,-94.1027196,Traditional IRA,22729.567654827973
Vernon,Williams,Vernon Williams,647-616-2653,2,1981-05-23,37,2003-08-15,Savannah,GA,125 Heritage Way,Robert,32.032415,-81.23194099999999,"Roth 401(k),529,Traditional IRA,Brokerage,Roth IRA",276300.8115706318
Mary,Newton,Mary Newton,237-578-7236,3,1976-12-27,41,2011-03-14,Glendale,AZ,7124 West Morrow Drive,Robert,33.6547986,-112.2129638,529,83681.9001591584
Brian,Riley,Brian Riley,360-478-1086,4,1964-02-13,54,2000-07-03,Fayetteville,AR,2017 North Hartford Drive,Robert,36.08820499999999,-94.1074905,"Traditional IRA,Brokerage,Roth IRA,529",41952.67735319456
Kelli,Mcguire,Kelli Mcguire,176-977-5171,5,1982-05-02,36,2002-09-10,Arvada,CO,7650 West 68th Avenue,Cynthia,39.8196765,-105.082837,"Brokerage,529,Traditional IRA,Roth IRA,Roth 401(k)",84765.16826444893
Ralph,Garcia,Ralph Garcia,290-407-5376,6,1983-07-23,35,2008-09-22,Carson,CA,22618 South Figueroa Street,Cynthia,33.8206152,-118.2855662,"529,Traditional IRA",33002.80598273688
Jeffery,Hill,Jeffery Hill,131-875-3618,7,1967-05-22,51,2006-10-23,Glendale,AZ,10202 North 51st Drive,Cynthia,33.578507,-112.169809,529,20904.585645990534
Mildred,Rodocker,Mildred Rodocker,173-338-8198,8,1988-01-11,30,2001-07-27,Pasadena,MD,3440 Brookhaven Road,Robert,39.127619,-76.5278441,"Brokerage,Roth 401(k)",41487.749607131744
Antonio,Mathers,Antonio Mathers,386-138-9981,9,1985-11-07,33,2015-06-26,Washington,DC,1010 M Street Northwest,Robert,38.9054822,-77.0265494,"Brokerage,Roth 401(k),529,Traditional IRA,Roth IRA",321580.8189626046
Martha,Long,Martha Long,665-160-9393,10,1982-02-16,36,2013-06-10,Arlington,MA,11 Adams Street,Robert,42.410379,-71.1468411,"Roth IRA,529,Brokerage",295244.66298095597
Michael,Mullis,Michael Mullis,593-290-0259,11,1956-03-07,62,2011-06-16,Arvada,CO,6069 Jay Street,Robert,39.8067818,-105.0647795,"529,Roth 401(k)",37146.26319195918
Amanda,Sullivan,Amanda Sullivan,662-195-8297,12,1974-04-03,44,2012-12-06,Nashville,TN,3504 Mount View Ridge Drive,Robert,36.0678178,-86.596313,Traditional IRA,58072.77504021553
Domingo,Wynne,Domingo Wynne,135-236-4613,13,1977-05-27,41,2014-10-07,Aptos,CA,260 Rio Del Mar Boulevard,Robert,36.967915,-121.902513,"Brokerage,Roth IRA,529",43972.49476772984
Virginia,Wilkinson,Virginia Wilkinson,691-430-6260,14,1985-08-10,33,2012-01-10,Salem,MA,24 Norman Street,Cynthia,42.520197,-70.896807,"Brokerage,Roth IRA,Traditional IRA,Roth 401(k)",374777.2274497062
Pearl,Osman,Pearl Osman,319-190-9999,15,1961-11-03,57,2001-04-04,Annapolis,MD,629 Cutter Court,Cynthia,38.970299,-76.525336,"Brokerage,Traditional IRA,Roth 401(k)",104017.01002655095
Kerri,Cabezas,Kerri Cabezas,631-422-6740,16,1955-01-06,63,2016-10-04,Bethany,OK,4709 North Willow Avenue,Robert,35.5194368,-97.633618,"Roth IRA,Roth 401(k),529,Brokerage,Traditional IRA",56096.64950619483
Juanita,Spellacy,Juanita Spellacy,137-620-1898,17,1983-06-15,35,2006-12-25,Savannah,GA,63 Wild Thistle Lane,Robert,32.003593,-81.02607300000001,Roth IRA,218801.8367358219
Susan,Eisenberg,Susan Eisenberg,603-817-8829,18,1963-03-19,55,2017-08-03,Cambridge,MA,17 Elm Street,Robert,42.367748,-71.098765,Roth IRA,15009.50568353463
Christopher,Hartman,Christopher Hartman,210-576-6608,19,1990-12-25,27,2010-02-22,Fayetteville,AR,606 National Street,Robert,36.0534454,-94.167263,"Brokerage,Roth 401(k),529,Traditional IRA,Roth IRA",58448.37041793933
Georgine,Davila,Georgine Davila,528-787-4881,20,1959-08-15,59,2006-12-18,Glendale,AZ,6802 North 67th Avenue,Robert,33.5359555,-112.2043774,"529,Brokerage,Traditional IRA",27953.951555592612
Ruth,Lundy,Ruth Lundy,249-957-1826,21,1970-01-05,48,2006-09-18,Oklahoma City,OK,3420 Northwest 41st Street,Cynthia,35.513392,-97.57815599999999,"Traditional IRA,Brokerage",23102.19494010639
Cheryl,Yepez,Cheryl Yepez,683-593-6733,22,1979-10-20,39,2011-01-04,Fairfield,CA,3388 Thomasson Lane,Robert,38.198231,-122.106795,"529,Brokerage,Roth 401(k)",7957.92589457746
Jacob,Anderson,Jacob Anderson,213-414-3290,23,1970-05-11,48,2016-02-08,Mammoth Lakes,CA,3189 Main Street,Robert,37.6470787,-118.9686523,"Roth 401(k),Roth IRA,Traditional IRA,Brokerage",56695.262884742784
